distance_from_center_mm,angle_degrees,etch_gas_flow,spin_coat_rpm,litho_overlay_error_nm,yield_pass
75.9,347.04,57.7,1928,1.471,1
84.76,87.05,49.9,1904,0.538,1
76.79,62.38,50.14,2111,1.679,1
145.83,304.68,56.52,2086,1.383,0
92.24,100.23,43.08,2073,0.623,1
85.24,190.14,44.36,2133,2.165,1
43.02,303.36,52.45,2017,2.656,1
83.18,306.09,59.05,1974,0.328,1
70.13,265.9,56.85,2053,1.875,1
91.51,301.73,44.9,2003,1.585,1
139.57,224.13,45.54,2020,2.415,1
36.88,29.77,46.26,1832,0.639,1
46.42,30.92,45.67,2165,1.916,1
58.66,308.09,51.89,2003,1.197,1
40.54,321.04,61.52,1797,0.507,1
52.5,42.03,46.37,2111,0.563,0
140.43,284.17,48.84,2224,0.594,1
56.68,208.54,46.39,2160,1.051,1
116.2,337.34,58.44,2084,1.726,1
6.09,226.2,34.83,1879,0.551,1
44.8,247.77,47.9,1990,1.89,1
105.39,170.86,55.65,2061,2.937,1
67.84,280.91,46.22,2120,2.265,1
133.48,121.93,45.29,2190,2.142,1
65.27,314.78,40.83,1711,2.455,1
93.53,81.24,54.4,1850,2.42,1
87.81,204.66,46.05,1884,1.488,1
89.87,235.23,50.91,1805,2.359,1
98.35,156.12,48.89,1905,2.674,1
76.69,115.41,47.34,1911,1.145,1
29.05,74.02,62.52,2058,2.612,1
10.35,100.9,50.16,2095,2.082,1
37.81,283.12,55.69,1785,1.873,1
14.28,96.26,62.36,2166,1.195,1
16.97,345.36,59.31,2269,1.444,1
42.09,249.85,51.88,2207,1.914,1
88.88,312.91,59.17,2295,1.903,1
51.48,184.96,42.32,1872,3.347,1
116.68,75.54,51.59,1904,1.816,1
144.81,1.31,58.03,1955,1.67,1
49.78,53.49,40.61,1967,2.208,1
35.44,148.28,50.31,1838,2.027,1
103.17,23.77,51.17,2086,0.205,1
85.9,313.61,54.9,1578,3.784,1
115.43,95.24,52.55,1606,1.33,1
92.54,1.05,50.57,2048,1.855,1
41.93,7.46,59.09,1871,2.808,1
136.67,260.49,46.8,2199,2.023,0
85.94,10.59,49.33,2133,1.784,0
